sekwencja,nowy_znak
BRUMC1,B.27.23.B.30
BRUMC1,A.38
BRUMC1,G
BRUMC1,B.24.11
BRUMC1,B.27.28.30.B.30
BRUMC1,A.4
BRUMC1,H.24.28
BRUMC1,B.24.12
BRUMC2,E.17.48.3
BRUMC2,B.29.23.B.25
BRUMC3,B.29.35
BRUMC3,B.24.5
BRUMC4,B.24.11
BRUMC4,B.29.35
COLA02,B.24.11
COLA02,B.31.28
COLA02,A.6
COLA02,B.24.28.7
COLA02,A.38
COLA02,B.29.30.10
COLA02,E.31.20
COLA02,B.27.30
COLA03,B.24.28.30
COLA03,C.24.1
COLA03,G
COLA03,A.36
COLA03,B.27.23
COLA03,B.24.11
COLA03,B.29.23
COLA03,E.17
COLA06,A.1.16
COLA06,C.29
COLA06,A.36
COLA06,B.24.28
COLA06,A.6
COLA06,G
COLA06,B.24.11
COLA06,B.27.30
COLA06,A.38
COLA06,B.29.23
COLA07,A.1.16
COLA07,C.29
COLA07,A.36
COLA07,B.24.28
COLA07,A.6
COLA07,G
COLA07,B.24.11
COLA07,B.27.30
COLA07,A.38
COLA07,B.29.23.B.30
COLA15,B.29.25
COLA15,B.24.25
COLA28inf,C.24.1
COLA28inf,B.24.28
COLA28inf,B.29.23
COLA28inf,B.24.11
COLA28inf,E.17.3
COLA28sup,B.24.28
COLA28sup,B.29.23
COLA28sup,B.24.11
COLA28sup,E.17.3
COLA28sup,0
COLA29,B.31.21
COLA29,B.27.30
COLA29,B.31.21
COLA29,B.27.30
COLA30,B.24.11
COLA30,A.36
COLA30,B.24.11
COLA30,A.36
COLA43,B.24.28.10
COLA43,E.17.3
COLA43,B.29.34
COLA44,E.17.48
COLA44,B.29.23
COLA45,E.17.3
COLA45,B.29.35
COLA46,B.24.11
COLA46,B.29.23.B.25
COLA47,B.29.25
COLA47,E.17.3
COLA50,A.1
COLA50,B.24.11
COLA50,B.27.30
COLA50,B.29.30
COLA50,B.24.10.7
COLA50,A.36
COLA50,A.6
COLA50,H.24.28
COLA54,E.17.48.3
COLA54,B.29.25
COLA56,B.29.25
COLA56,E.17
COLA57,A.17.3
COLA57,B.29.25
COLA60inf,A.36
COLA60inf,B.29.23.23.B.30
COLA60inf,A.6
COLA60inf,H.24.28
COLA60sup,B.29.23
COLA60sup,A.6
COLA60sup,H.24.28
COLA60sup,A.1.16
COLA61,B.29.25
COLA61,E.17.3
COLA62,B.24.25.B.11
COLA62,B.29.23.B.25
COLA63,E.17.48.3
COLA63,B.29.23.B.25
COLA65,A.36.3
COLA65,B.29.25
CruzCinf,B.31.28.B.32
CruzCinf,A.38
CruzCinf,A.1.48
CruzCinf,B.24.25
CruzCinf,B.31.28.B.32
CruzCinf,A.38
CruzCinf,A.1.48
CruzCinf,B.31.28.B.25
CruzCinf,C.24.1
CruzCinf,B.24.25
CruzCinf,A.1.48
CruzCinf,B.31.28.B.32
CruzCinf,C.24.1
CruzCinf,B.24.25
CruzCinf,A.1.48
CruzCinf,B.31.28.B.25
CruzCbrazo1,B.31.28.B.32
CruzCbrazo1,C.24.1
CruzCbrazo1,B.24.25
CruzCbrazo1,A.4
CruzCbrazo1,B.31.28.B.25
CruzCbrazo2,B.24.28.B.25.R
CruzCbrazo2,A.4
CruzCbrazo2,B.24.25.R
CruzCbrazo2,C.24.1
CruzCbrazo2,B.31.28.B.32
CruzCsup,B.24.25
CruzCsup,C.24.1
EMB-VA28404,E.31.14.47
EMB-VA28404,H.31.22
EMB-VA28404,B.29.23.B.30
EMB-VA28404,A.6
EMB-VA28404,G
EMB-VA28404,B.27.30
EMB-VA28404,B.31.28
EMB-VA28404,B.24.28
EMB-VA8918inf,A.6
EMB-VA8918inf,G
EMB-VA8918inf,A.38
EMB-VA8918inf,B.27.30
EMB-VA8918sup,G
EMB-VA8918sup,A.38
EMB-VA8918sup,B.27.30
